,small,medium,big,2legs,4legs,hair,hooves,mane,feather,hunt,run,fly,swim
dove,1,0,0,1,0,0,0,0,1,0,0,1,0
hen,1,0,0,1,0,0,0,0,1,0,0,0,0
duck,1,0,0,1,0,0,0,0,1,0,0,1,1
goose,1,0,0,1,0,0,0,0,1,0,0,1,1
owl,1,0,0,1,0,0,0,0,1,1,0,1,0
hawk,1,0,0,1,0,0,0,0,1,1,0,1,0
eagle,0,1,0,1,0,0,0,0,1,1,0,1,0
fox,0,1,0,0,1,1,0,0,0,1,0,0,0
dog,0,1,0,0,1,1,0,0,0,0,1,0,0
wolf,0,1,0,0,1,1,0,1,0,1,1,0,0
cat,1,0,0,0,1,1,0,0,0,1,0,0,0
tiger,0,0,1,0,1,1,0,0,0,1,1,0,0
lion,0,0,1,0,1,1,0,1,0,1,1,0,0
horse,0,0,1,0,1,1,1,1,0,0,1,0,0
zebra,0,0,1,0,1,1,1,1,0,0,1,0,0
cow,0,0,1,0,1,1,1,0,0,0,0,0,0
